Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
Fairfax County Virginia,42,Wholesale trade,All establishments,All establishments,2019,810,1916389,468884,15106,
Fairfax County Virginia,44-45,Retail trade,All establishments,All establishments,2019,2628,1782575,420056,51262,
Fairfax County Virginia,48-49,Transportation and warehousing,All establishments,All establishments,2019,428,423770,105842,8696,
Fairfax County Virginia,51,Information,All establishments,All establishments,2019,898,5703335,1674451,40137,
Fairfax County Virginia,52,Finance and insurance,All establishments,All establishments,2019,1659,4406011,1442312,31021,
Fairfax County Virginia,53,Real estate and rental and leasing,All establishments,All establishments,2019,1710,936599,244045,11348,
Fairfax County Virginia,54,Professional scientific and technical services,All establishments,All establishments,2019,8784,24345467,6137831,218675,
Fairfax County Virginia,55,Management of companies and enterprises,All establishments,All establishments,2019,311,2509093,734019,18949,
Fairfax County Virginia,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,1818,3418446,821559,62234,
Fairfax County Virginia,61,Educational services,All establishments,All establishments,2019,684,743719,187716,13745,
Fairfax County Virginia,62,Health care and social assistance,All establishments,All establishments,2019,3470,3796073,893582,66535,
Fairfax County Virginia,71,Arts entertainment and recreation,All establishments,All establishments,2019,413,340486,94353,10637,
Fairfax County Virginia,72,Accommodation and food services,All establishments,All establishments,2019,2498,1095064,259182,47190,
Fairfax County Virginia,81,Other services (except public administration),All establishments,All establishments,2019,2707,1176799,290597,24341,
Fairfax County Virginia,99,Industries not classified,All establishments,All establishments,2019,43,1185,164,39,
Fairfax County Virginia,0,Total for all sectors,All establishments,All establishments,2020,31769,57393417,15250175,672100,
Fairfax County Virginia,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2020,5,21085,5326,220,
Fairfax County Virginia,21,Mining quarrying and oil and gas extraction,All establishments,All establishments,2020,5,7020,1899,70,
Fairfax County Virginia,22,Utilities,All establishments,All establishments,2020,19,167271,49083,1364,
Fairfax County Virginia,23,Construction,All establishments,All establishments,2020,2384,2265823,606178,30826,
Fairfax County Virginia,31-33,Manufacturing,All establishments,All establishments,2020,349,358216,91057,5874,
Fairfax County Virginia,42,Wholesale trade,All establishments,All establishments,2020,798,2041122,463408,15248,
Fairfax County Virginia,44-45,Retail trade,All establishments,All establishments,2020,2577,1715096,428172,52277,
Fairfax County Virginia,48-49,Transportation and warehousing,All establishments,All establishments,2020,438,483792,112865,10046,
Fairfax County Virginia,51,Information,All establishments,All establishments,2020,868,5961188,1690059,38920,
Fairfax County Virginia,52,Finance and insurance,All establishments,All establishments,2020,1685,4667264,1493208,31245,
Fairfax County Virginia,53,Real estate and rental and leasing,All establishments,All establishments,2020,1758,980008,273197,11712,
Fairfax County Virginia,54,Professional scientific and technical services,All establishments,All establishments,2020,8861,25659466,6507110,228318,
Fairfax County Virginia,55,Management of companies and enterprises,All establishments,All establishments,2020,355,2761085,858638,21034,
Fairfax County Virginia,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2020,1808,3467040,863169,63936,
Fairfax County Virginia,61,Educational services,All establishments,All establishments,2020,702,753148,185061,13133,
Fairfax County Virginia,62,Health care and social assistance,All establishments,All establishments,2020,3500,3918863,976477,65883,
Fairfax County Virginia,71,Arts entertainment and recreation,All establishments,All establishments,2020,409,233231,85586,11188,
Fairfax County Virginia,72,Accommodation and food services,All establishments,All establishments,2020,2418,854596,263125,46807,
Fairfax County Virginia,81,Other services (except public administration),All establishments,All establishments,2020,2759,1076061,296116,23941,
Fairfax County Virginia,99,Industries not classified,All establishments,All establishments,2020,71,2042,441,58,
Fairfax County Virginia,0,,All establishments,All establishments,2021,31808,62668153,15468556,647247,Total for all sectors
Fairfax County Virginia,11,,All establishments,All establishments,2021,6,28270,5594,210,Agriculture forestry fishing and hunting
Fairfax County Virginia,21,,All establishments,All establishments,2021,5,6034,1373,68,Mining quarrying and oil and gas extraction
Fairfax County Virginia,22,,All establishments,All establishments,2021,18,178527,53018,1707,Utilities
Fairfax County Virginia,23,,All establishments,All establishments,2021,2444,2531175,604486,30644,Construction
Fairfax County Virginia,31-33,,All establishments,All establishments,2021,349,395255,93863,5871,Manufacturing
Fairfax County Virginia,42,,All establishments,All establishments,2021,808,2401734,534255,16208,Wholesale trade
Fairfax County Virginia,44-45,,All establishments,All establishments,2021,2507,1854594,410402,47722,Retail trade
Fairfax County Virginia,48-49,,All establishments,All establishments,2021,446,492618,111688,9843,Transportation and warehousing
Fairfax County Virginia,51,,All establishments,All establishments,2021,873,6822004,1819538,38204,Information
Fairfax County Virginia,52,,All establishments,All establishments,2021,1626,4984931,1541812,32104,Finance and insurance
Fairfax County Virginia,53,,All establishments,All establishments,2021,1808,996688,243553,10720,Real estate and rental and leasing
Fairfax County Virginia,54,,All establishments,All establishments,2021,8767,28296684,6831378,233048,Professional scientific and technical services
Fairfax County Virginia,55,,All establishments,All establishments,2021,321,2737115,730814,22232,Management of companies and enterprises
Fairfax County Virginia,56,,All establishments,All establishments,2021,1859,3406425,778097,56067,Administrative and support and waste management and remediation services
Fairfax County Virginia,61,,All establishments,All establishments,2021,692,804275,166942,12034,Educational services
Fairfax County Virginia,62,,All establishments,All establishments,2021,3606,4418937,1035508,66019,Health care and social assistance
Fairfax County Virginia,71,,All establishments,All establishments,2021,429,184643,37970,6067,Arts entertainment and recreation
Fairfax County Virginia,72,,All establishments,All establishments,2021,2440,1001865,206608,37850,Accommodation and food services
Fairfax County Virginia,81,,All establishments,All establishments,2021,2764,1124546,261225,20580,Other services (except public administration)
Fairfax County Virginia,99,,All establishments,All establishments,2021,40,1833,432,49,Industries not classified
Loudoun County Virginia,0,Total for all sectors,All establishments,All establishments,2019,11028,10312852,2552811,168351,
Loudoun County Virginia,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2019,25,2036,501,69,
Loudoun County Virginia,21,Mining quarrying and oil and gas extraction,All establishments,All establishments,2019,6,25393,12416,593,
Loudoun County Virginia,22,Utilities,All establishments,All establishments,2019,5,8361,2267,95,
Loudoun County Virginia,23,Construction,All establishments,All establishments,2019,883,966621,226715,14225,
Loudoun County Virginia,31-33,Manufacturing,All establishments,All establishments,2019,194,496644,121784,5729,
Loudoun County Virginia,42,Wholesale trade,All establishments,All establishments,2019,286,257407,67053,3372,
Loudoun County Virginia,44-45,Retail trade,All establishments,All establishments,2019,1053,592876,144128,19356,
Loudoun County Virginia,48-49,Transportation and warehousing,All establishments,All establishments,2019,340,662149,170984,13563,
Loudoun County Virginia,51,Information,All establishments,All establishments,2019,312,1222338,404154,10026,
Loudoun County Virginia,52,Finance and insurance,All establishments,All establishments,2019,398,340235,82061,3506,
Loudoun County Virginia,53,Real estate and rental and leasing,All establishments,All establishments,2019,485,103400,23998,1731,
Loudoun County Virginia,54,Professional scientific and technical services,All establishments,All establishments,2019,3216,2793340,658042,31048,
Loudoun County Virginia,55,Management of companies and enterprises,All establishments,All establishments,2019,58,320347,81494,3655,
Loudoun County Virginia,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,605,653641,151137,14794,
Loudoun County Virginia,61,Educational services,All establishments,All establishments,2019,247,85474,21183,2953,
Loudoun County Virginia,62,Health care and social assistance,All establishments,All establishments,2019,1049,738162,171938,14567,
Loudoun County Virginia,71,Arts entertainment and recreation,All establishments,All establishments,2019,179,297391,34265,3981,
