label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
        Renter-occupied,305359,6356,0.45899999999999996,0.9,139666,4810,0.35600000000000004,1.1,173953,6487,0.361,1.2,161248,6693,0.47200000000000003,1.8,493482,8866,0.49700000000000005,0.8,134639,4786,0.324,1.1,32041,2780,0.22,1.9
        Average household size of owner-occupied unit,2.88,0.03,0.127,N/A,2.83,0.04,0.129,N/A,2.62,0.03,0.129,N/A,2.11,0.04,0.1345,N/A,2.87,0.04,0.1385,N/A,2.81,0.04,0.14100000000000001,N/A,3.15,0.05,0.129,N/A
        Average household size of renter-occupied unit,2.62,0.04,0.127,N/A,2.39,0.07,0.129,N/A,2.10,0.06,0.129,N/A,1.93,0.05,0.1345,N/A,2.31,0.04,0.1385,N/A,2.55,0.07,0.14100000000000001,N/A,2.42,0.14,0.129,N/A
YEAR HOUSEHOLDER MOVED INTO UNIT,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Occupied housing units,665549,3723,6655.49,N/A,392629,2507,3926.29,N/A,481294,4227,4812.94,N/A,341597,3999,3415.97,N/A,993312,5968,9933.12,N/A,414946,2811,4149.46,N/A,145601,1354,1456.01,N/A
        Moved in 2021 or later,200386,6778,0.301,1.0,106426,4639,0.271,1.1,151418,6353,0.315,1.2,133403,6777,0.391,1.8,354255,10255,0.35700000000000004,1.0,115112,4891,0.27699999999999997,1.2,34555,2413,0.237,1.7
        Moved in 2018 to 2020,102458,5782,0.154,0.9,70377,4509,0.179,1.1,104517,6579,0.217,1.4,68384,5619,0.2,1.6,184226,8221,0.185,0.8,74830,4082,0.18,1.0,36868,3225,0.253,2.2
        Moved in 2010 to 2017,140402,6179,0.21100000000000002,0.9,84723,4200,0.21600000000000003,1.1,106007,6296,0.22,1.3,60647,5222,0.17800000000000002,1.5,183558,8496,0.185,0.8,84967,4213,0.205,1.0,37278,2911,0.256,2.0
        Moved in 2000 to 2009,101268,4448,0.152,0.7,61904,3206,0.158,0.8,66355,3944,0.138,0.8,40028,3348,0.11699999999999999,1.0,135065,6466,0.136,0.7,65663,4066,0.158,1.0,24643,2215,0.16899999999999998,1.5
        Moved in 1990 to 1999,59302,3253,0.08900000000000001,0.5,35802,2461,0.091,0.6,34148,2780,0.071,0.6,21095,2209,0.062,0.7,71029,4623,0.07200000000000001,0.5,39599,2673,0.095,0.6,9152,1320,0.063,0.9
        Moved in 1989 and earlier,61733,3096,0.09300000000000001,0.5,33397,2178,0.085,0.6,18849,2066,0.039,0.4,18040,1642,0.053,0.5,65179,3961,0.066,0.4,34775,2383,0.084,0.6,3105,731,0.021,0.5
