label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate_margin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate_margin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate_margin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate_margin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasestimate_margin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate_margin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate_margin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
    Moved in 1980 to 1989,50775,2999,0.085,0.5,37132,2631,0.10300000000000001,0.7,17772,1557,0.053,0.5,14614,1865,0.057999999999999996,0.8,52437,3079,0.062,0.4,38816,2200,0.1,0.6,4286,987,0.042,1.0
    Moved in 1970 to 1979,35403,2408,0.059000000000000004,0.4,17853,1563,0.05,0.4,10232,1213,0.03,0.4,10609,1301,0.042,0.5,36573,2644,0.043,0.3,17110,1651,0.044000000000000004,0.4,1553,547,0.015,0.5
    Moved in 1969 or earlier,27564,1921,0.046,0.3,13487,1255,0.038,0.3,5769,1073,0.017,0.3,9225,1208,0.037000000000000005,0.5,27731,1986,0.033,0.2,9560,1056,0.025,0.3,690,323,0.006999999999999999,0.3
VEHICLES AVAILABLE,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Occupied housing units,599235,3770,5992.35,N/A,359476,2836,3594.76,N/A,338054,3843,3380.54,N/A,249899,3777,2498.99,N/A,843416,4626,8434.16,N/A,389415,3502,3894.15,N/A,102979,2217,1029.79,N/A
    No vehicles available,31267,2142,0.052000000000000005,0.3,29180,2723,0.081,0.8,15887,1892,0.047,0.6,20302,1997,0.081,0.8,57890,3667,0.069,0.4,15531,2125,0.04,0.5,2944,915,0.028999999999999998,0.9
    1 vehicle available,168953,5440,0.282,0.9,117835,4895,0.32799999999999996,1.3,110880,4566,0.32799999999999996,1.4,101683,4184,0.40700000000000003,1.5,335530,6361,0.39799999999999996,0.7,116197,4302,0.298,1.1,21776,2476,0.21100000000000002,2.2
    2 vehicles available,249590,6964,0.41700000000000004,1.1,141797,4297,0.39399999999999996,1.2,144133,5393,0.426,1.4,90348,4278,0.36200000000000004,1.6,314965,7220,0.373,0.8,168487,5072,0.433,1.2,50520,2257,0.491,2.2
    3 or more vehicles available,149425,5973,0.249,1.0,70664,3898,0.19699999999999998,1.1,67154,3794,0.19899999999999998,1.1,37566,2710,0.15,1.1,135031,6100,0.16,0.7,89200,4115,0.22899999999999998,1.0,27739,2121,0.26899999999999996,2.0
HOUSE HEATING FUEL,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Occupied housing units,599235,3770,5992.35,N/A,359476,2836,3594.76,N/A,338054,3843,3380.54,N/A,249899,3777,2498.99,N/A,843416,4626,8434.16,N/A,389415,3502,3894.15,N/A,102979,2217,1029.79,N/A
    Utility gas,401603,5475,0.67,0.8,204759,4708,0.57,1.2,147026,4391,0.435,1.3,85865,3289,0.344,1.2,326318,6862,0.387,0.8,226402,5496,0.581,1.3,63069,2565,0.612,2.2
    Bottled tank or LP gas,8862,1190,0.015,0.2,2816,683,0.008,0.2,16502,1953,0.049,0.6,3090,729,0.012,0.3,5117,1041,0.006,0.1,5065,1061,0.013000000000000001,0.3,5739,1152,0.055999999999999994,1.1
    Electricity,178541,5382,0.298,0.9,136695,4268,0.38,1.2,171229,5649,0.507,1.4,159045,3716,0.636,1.2,509682,7729,0.604,0.8,145688,4963,0.374,1.2,28775,2317,0.27899999999999997,2.1
    Fuel oil kerosene etc.,462,269,0.001,0.1,13888,1788,0.039,0.5,1575,600,0.005,0.2,380,247,0.002,0.1,174,203,0.0,0.1,10387,1655,0.027000000000000003,0.4,3816,965,0.037000000000000005,0.9
    Coal or coke,0,294,0.0,0.1,0,289,0.0,0.1,0,289,0.0,0.1,0,287,0.0,0.1,0,294,0.0,0.1,0,287,0.0,0.1,0,287,0.0,0.2
    Wood,1887,625,0.003,0.1,412,245,0.001,0.1,1091,573,0.003,0.2,674,377,0.003,0.2,417,365,0.0,0.1,613,290,0.002,0.1,1070,510,0.01,0.5
    Solar energy,850,370,0.001,0.1,0,289,0.0,0.1,0,289,0.0,0.1,61,100,0.0,0.1,44,72,0.0,0.1,0,287,0.0,0.1,61,102,0.001,0.1
    Other fuel,1238,577,0.002,0.1,427,289,0.001,0.1,132,156,0.0,0.1,223,161,0.001,0.1,258,194,0.0,0.1,514,289,0.001,0.1,223,211,0.002,0.2
    No fuel used,5792,1262,0.01,0.2,479,298,0.001,0.1,499,269,0.001,0.1,561,273,0.002,0.1,1406,470,0.002,0.1,746,380,0.002,0.1,226,208,0.002,0.2
SELECTED CHARACTERISTICS,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Occupied housing units,599235,3770,5992.35,N/A,359476,2836,3594.76,N/A,338054,3843,3380.54,N/A,249899,3777,2498.99,N/A,843416,4626,8434.16,N/A,389415,3502,3894.15,N/A,102979,2217,1029.79,N/A
    Lacking complete plumbing facilities,3645,1269,0.006,0.2,1527,830,0.004,0.2,776,487,0.002,0.1,189,184,0.001,0.1,4247,1158,0.005,0.1,1590,938,0.004,0.2,548,447,0.005,0.4
    Lacking complete kitchen facilities,6765,1368,0.011000000000000001,0.2,2955,898,0.008,0.2,1703,591,0.005,0.2,1028,405,0.004,0.2,7170,1299,0.009000000000000001,0.2,2292,1027,0.006,0.3,757,477,0.006999999999999999,0.5
    No telephone service available,10027,1634,0.017,0.3,5286,1022,0.015,0.3,6511,1280,0.019,0.4,4920,1010,0.02,0.4,17779,2310,0.021,0.3,4533,1139,0.012,0.3,894,496,0.009000000000000001,0.5
OCCUPANTS PER ROOM,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Occupied housing units,599235,3770,5992.35,N/A,359476,2836,3594.76,N/A,338054,3843,3380.54,N/A,249899,3777,2498.99,N/A,843416,4626,8434.16,N/A,389415,3502,3894.15,N/A,102979,2217,1029.79,N/A
    1.00 or less,551916,4276,0.9209999999999999,0.5,350327,3061,0.975,0.5,330284,4125,0.977,0.5,243125,3977,0.973,0.5,783874,5418,0.929,0.5,377798,3709,0.97,0.4,101545,2359,0.986,0.7
    1.01 to 1.50,32292,3177,0.054000000000000006,0.5,6763,1435,0.019,0.4,6206,1382,0.018000000000000002,0.4,4225,1156,0.017,0.5,42260,3777,0.05,0.4,8054,1607,0.021,0.4,1265,631,0.012,0.6
    1.51 or more,15027,2309,0.025,0.4,2386,803,0.006999999999999999,0.2,1564,784,0.005,0.2,2549,693,0.01,0.3,17282,2272,0.02,0.3,3563,1167,0.009000000000000001,0.3,169,197,0.002,0.2
